"n","K","Empirical","Mean","Median","Percent_Err_Mean","Percent_Err_Median"
100,10,0.571943648667031,0.577250513669995,0.554501666010785,0.92786501175989,3.04959810234729
500,10,0.484635441497313,0.477894773161212,0.452725848592109,1.39087399701413,6.58424666727169
1000,10,0.51962264606987,0.482838278362055,0.466848247550239,7.07905399928801,10.1562930174014
5000,10,0.483709154153174,0.45205717116646,0.454077992550026,6.54359809297534,6.1258219632049
